selector,file,action,reason,original_declarations,new_declarations
.ai-analysis__format-item,pages/ai_analysis/upload.css,trimmed (overlap removed),Removed overlapping properties ['padding'] from lower-priority definition,padding: var(--spacing-3),
.ai-analysis__format-icon,pages/ai_analysis/upload.css,trimmed (overlap removed),"Removed overlapping properties ['flex-shrink', 'font-size'] from lower-priority definition",flex-shrink: 0; font-size: var(--font-size-2xl); line-height: 1,line-height: 1
.ai-analysis__format-item strong,pages/ai_analysis/upload.css,trimmed (overlap removed),"Removed overlapping properties ['color', 'display', 'font-weight', 'margin-bottom'] from lower-priority definition",color: var(--color-text-primary); display: block; font-size: var(--font-size-base); font-weight: var(--font-weight-semibold); margin-bottom: var(--spacing-2),font-size: var(--font-size-base)
.ai-analysis__format-item p,pages/ai_analysis/upload.css,dropped (covered by higher priority),.ai-analysis__format-item p in pages/ai_analysis/upload.css fully subset of accumulated higher-priority declarations,color: var(--color-text-secondary); font-size: var(--font-size-sm); line-height: 1.4; margin: 0,
.ai-analysis__table-wrapper,pages/ai_analysis/ai_preview.css,trimmed (overlap removed),"Removed overlapping properties ['border', 'border-radius', 'overflow-x'] from lower-priority definition",border: 1px solid var(--color-border-light); border-radius: var(--border-radius-lg); box-shadow: var(--shadow-sm); overflow-x: auto,box-shadow: var(--shadow-sm)
.ai-analysis__table,pages/ai_analysis/ai_preview.css,trimmed (overlap removed),"Removed overlapping properties ['background-color', 'border-collapse', 'width'] from lower-priority definition",background-color: var(--color-white); border-collapse: collapse; min-width: 800px; width: 100%,min-width: 800px
.ai-analysis__table,pages/ai_analysis/ai_preview.css,trimmed (overlap removed),Removed overlapping properties ['min-width'] from lower-priority definition,min-width: 600px,
.ai-analysis__table th,features/ai-analysis.css,trimmed (overlap removed),Removed overlapping properties ['padding'] from lower-priority definition,padding: var(--spacing-2),
.ai-analysis__table th,pages/ai_analysis/ai_preview.css,trimmed (overlap removed),"Removed overlapping properties ['background-color', 'border-bottom', 'color', 'font-weight', 'padding', 'text-align', 'white-space'] from lower-priority definition",background-color: var(--color-background-light); border-bottom: 2px solid var(--color-border); color: var(--color-text-primary); font-size: var(--font-size-sm); font-weight: var(--font-weight-semibold); letter-spacing: 0.05em; padding: var(--spacing-4); text-align: left; text-transform: uppercase; white-space: nowrap,font-size: var(--font-size-sm); letter-spacing: 0.05em; text-transform: uppercase
.ai-analysis__table th,pages/ai_analysis/ai_preview.css,trimmed (overlap removed),Removed overlapping properties ['padding'] from lower-priority definition,padding: var(--spacing-2),
.ai-analysis__table th,pages/ai_analysis/ai_preview.css,trimmed (overlap removed),Removed overlapping properties ['padding'] from lower-priority definition,padding: var(--spacing-1),
.ai-analysis__table td,features/ai-analysis.css,trimmed (overlap removed),Removed overlapping properties ['padding'] from lower-priority definition,padding: var(--spacing-2),
.ai-analysis__table td,pages/ai_analysis/ai_preview.css,dropped (covered by higher priority),.ai-analysis__table td in pages/ai_analysis/ai_preview.css fully subset of accumulated higher-priority declarations,border-bottom: 1px solid var(--color-border-light); padding: var(--spacing-3); vertical-align: middle,
.ai-analysis__table td,pages/ai_analysis/ai_preview.css,trimmed (overlap removed),Removed overlapping properties ['padding'] from lower-priority definition,padding: var(--spacing-2),
.ai-analysis__table td,pages/ai_analysis/ai_preview.css,trimmed (overlap removed),Removed overlapping properties ['padding'] from lower-priority definition,padding: var(--spacing-1),
.ai-analysis__row--exists,pages/ai_analysis/ai_preview.css,dropped (covered by higher priority),.ai-analysis__row--exists in pages/ai_analysis/ai_preview.css fully subset of accumulated higher-priority declarations,"background-color: rgba(52, 152, 219, 0.05)",
.ai-analysis__status,pages/ai_analysis/ai_preview.css,trimmed (overlap removed),"Removed overlapping properties ['font-size', 'padding'] from lower-priority definition",font-size: 10px; padding: 2px var(--spacing-1),
.ai-analysis__status--new,pages/ai_analysis/ai_preview.css,trimmed (overlap removed),"Removed overlapping properties ['background-color', 'color'] from lower-priority definition",background-color: var(--color-success-light); border: 1px solid var(--color-success-border); color: var(--color-success),border: 1px solid var(--color-success-border)
.ai-analysis__status--exists,pages/ai_analysis/ai_preview.css,trimmed (overlap removed),"Removed overlapping properties ['background-color', 'color'] from lower-priority definition","background-color: var(--color-primary-light); border: 1px solid rgba(52, 152, 219, 0.3); color: var(--color-primary)","border: 1px solid rgba(52, 152, 219, 0.3)"
.ai-analysis__input:focus,pages/ai_analysis/ai_preview.css,trimmed (overlap removed),"Removed overlapping properties ['border-color', 'box-shadow', 'outline'] from lower-priority definition",background-color: var(--color-white); border-color: var(--color-primary); box-shadow: 0 0 0 2px var(--color-primary-light); outline: none,background-color: var(--color-white)
.ai-analysis__input:disabled,pages/ai_analysis/ai_preview.css,dropped (covered by higher priority),.ai-analysis__input:disabled in pages/ai_analysis/ai_preview.css fully subset of accumulated higher-priority declarations,background-color: var(--color-background-light); color: var(--color-text-muted); cursor: not-allowed,
.ai-analysis__select,pages/ai_analysis/ai_components.css,trimmed (overlap removed),"Removed overlapping properties ['background-color', 'border', 'border-radius', 'color', 'font-size', 'padding', 'transition', 'width'] from lower-priority definition",background-color: var(--color-white); border: 2px solid var(--color-border); border-radius: var(--border-radius-lg); color: var(--color-text-primary); font-size: var(--font-size-base); min-height: 48px; padding: var(--spacing-3) var(--spacing-4); transition: all var(--transition-fast); width: 100%,min-height: 48px
.ai-analysis__select:focus,pages/ai_analysis/ai_components.css,dropped (covered by higher priority),.ai-analysis__select:focus in pages/ai_analysis/ai_components.css fully subset of accumulated higher-priority declarations,border-color: var(--color-primary); box-shadow: 0 0 0 3px var(--color-primary-light); outline: none,
"/* ========================================
   PROGRESS BAR
======================================== */

.ai-analysis__progress",pages/ai_analysis/upload.css,dropped (covered by higher priority),"/* ========================================
   PROGRESS BAR
======================================== */

.ai-analysis__progress in pages/ai_analysis/upload.css fully subset of accumulated higher-priority declarations",padding: var(--spacing-6); text-align: center,
.ai-analysis__progress-bar,pages/ai_analysis/upload.css,trimmed (overlap removed),"Removed overlapping properties ['background-color', 'border-radius', 'height', 'margin-bottom', 'overflow', 'width'] from lower-priority definition",background-color: var(--color-border-light); border-radius: var(--border-radius-full); height: 8px; margin-bottom: var(--spacing-4); overflow: hidden; position: relative; width: 100%,position: relative
.ai-analysis__progress-fill,pages/ai_analysis/upload.css,trimmed (overlap removed),"Removed overlapping properties ['animation', 'background', 'border-radius', 'height'] from lower-priority definition","animation: progressAnimation 2s ease-in-out infinite; background: linear-gradient(90deg, var(--color-primary), var(--color-primary-light)); border-radius: var(--border-radius-full); height: 100%; transition: width var(--transition-slow)",transition: width var(--transition-slow)
50%,pages/ai_analysis/upload.css,dropped (covered by higher priority),50% in pages/ai_analysis/upload.css fully subset of accumulated higher-priority declarations,width: 80%,
100%,components/cards/base.css,dropped (covered by higher priority),100% in components/cards/base.css fully subset of accumulated higher-priority declarations,left: 100%,
100%,pages/integration/filters.css,trimmed (overlap removed),Removed overlapping properties ['transform'] from lower-priority definition,transform: translateY(-50%) rotate(360deg),
100%,pages/integration/student-info.css,trimmed (overlap removed),Removed overlapping properties ['transform'] from lower-priority definition,transform: translateX(100%) translateY(100%) rotate(45deg),
100%,pages/ai_analysis/upload.css,dropped (covered by higher priority),100% in pages/ai_analysis/upload.css fully subset of accumulated higher-priority declarations,width: 95%,
100%,pages/schools_students/create-forms.css,dropped (covered by higher priority),100% in pages/schools_students/create-forms.css fully subset of accumulated higher-priority declarations,transform: rotate(360deg),
100%,pages/schools_students/students/students.css,dropped (covered by higher priority),100% in pages/schools_students/students/students.css fully subset of accumulated higher-priority declarations,transform: rotate(360deg),
100%,pages/meetings/selected-student.css,trimmed (overlap removed),Removed overlapping properties ['transform'] from lower-priority definition,transform: translateX(100%) translateY(100%) rotate(45deg),
"}

.ai-analysis__progress p",pages/ai_analysis/upload.css,trimmed (overlap removed),"Removed overlapping properties ['color', 'font-size', 'margin'] from lower-priority definition",color: var(--color-text-secondary); font-size: var(--font-size-sm); line-height: 1.5; margin: 0,line-height: 1.5
"/* ========================================
   RESPONSIVE DESIGN
======================================== */

@media (max-width: 768px)",pages/schools_students/schools/schools.css,trimmed (overlap removed),Removed overlapping properties ['align-items'] from lower-priority definition,".school-detail__header-content {
    flex-direction: column; align-items: stretch",".school-detail__header-content {
    flex-direction: column"
